Initialized VMGNet with dimx: 6, dimy: 1, dimh: (50,), N: 277, N_valid: 277, nonlinearity: relu, learning_rate: 0.001, seed: 3, iterations: 2000, batch_size: 5, priors: (0.0, 0.0, 0.0), layer_type: <class 'matrix_layers.MatrixGaussDiagLayerLearnP'>, task_type: regression, sampling_pred: True, type_init: he2, n_pseudo: 5, upper_bound_noise: 0.005
Epoch 200/2000, train: ['-2.79206', '-2.47674', '-0.21583', '-0.05268', '-0.02165', '-0.02515', '1.63951'], test: ['1.54310', '-2.28816'], dt: 0.10073
Epoch 400/2000, train: ['-2.52040', '-2.11844', '-0.24324', '-0.11870', '-0.02626', '-0.01376', '1.10149'], test: ['1.01273', '-1.84991'], dt: 0.09800
Epoch 600/2000, train: ['-2.36124', '-1.90172', '-0.27200', '-0.15304', '-0.02706', '-0.00742', '0.83014'], test: ['1.00788', '-1.65780'], dt: 0.08270
Epoch 800/2000, train: ['-2.23808', '-1.73333', '-0.29667', '-0.17649', '-0.02754', '-0.00405', '0.69976'], test: ['0.70216', '-1.46808'], dt: 0.08579
Epoch 1000/2000, train: ['-2.21210', '-1.68975', '-0.30413', '-0.18736', '-0.02819', '-0.00267', '0.67424'], test: ['1.02954', '-1.42774'], dt: 0.10893
Epoch 1200/2000, train: ['-2.24072', '-1.70956', '-0.30809', '-0.19160', '-0.02879', '-0.00267', '0.65545'], test: ['0.74288', '-1.37024'], dt: 0.09461
Epoch 1400/2000, train: ['-2.04622', '-1.52035', '-0.30149', '-0.19246', '-0.02944', '-0.00248', '0.63849'], test: ['0.52154', '-1.28929'], dt: 0.08218
Epoch 1600/2000, train: ['-2.13968', '-1.60957', '-0.30200', '-0.19498', '-0.03080', '-0.00233', '0.62100'], test: ['0.75458', '-1.32251'], dt: 0.08184
Epoch 1800/2000, train: ['-2.03896', '-1.50988', '-0.29967', '-0.19469', '-0.03234', '-0.00239', '0.61263'], test: ['0.75931', '-1.31538'], dt: 0.11436
Epoch 2000/2000, train: ['-2.05161', '-1.52659', '-0.29285', '-0.19561', '-0.03455', '-0.00201', '0.60567'], test: ['1.05878', '-1.43491'], dt: 0.15385
Initialized VMGNet with dimx: 784, dimy: 10, dimh: (150, 150, 150), N: 50000, N_valid: 50000, nonlinearity: relu, learning_rate: 0.001, seed: 1234, iterations: 100, batch_size: 100, priors: (0.0, 0.0, 0.0), layer_type: <class 'matrix_layers.MatrixGaussDiagLayerFF'>, task_type: classification, sampling_pred: False, type_init: he2, n_pseudo: 50, upper_bound_noise: 0.01
Epoch 1/100, train: ['-0.58224', '-0.54163', '-0.04061', '-0.00000', '6.38400'], valid: ['5.75000'], test: ['6.15000'], dt: 24.18867
Epoch 2/100, train: ['-0.28223', '-0.24858', '-0.03365', '-0.00000', '4.41600'], valid: ['4.01000'], test: ['4.45000'], dt: 23.06409
Epoch 3/100, train: ['-0.22129', '-0.19369', '-0.02760', '-0.00000', '3.39200'], valid: ['3.34000'], test: ['3.67000'], dt: 22.45380
Epoch 4/100, train: ['-0.19275', '-0.17052', '-0.02223', '-0.00000', '2.67200'], valid: ['2.86000'], test: ['2.97000'], dt: 22.55013
Epoch 5/100, train: ['-0.16603', '-0.14866', '-0.01737', '-0.00000', '2.21600'], valid: ['2.57000'], test: ['2.63000'], dt: 22.70422
Epoch 6/100, train: ['-0.14524', '-0.13233', '-0.01291', '-0.00000', '1.91400'], valid: ['2.41000'], test: ['2.51000'], dt: 22.76664
Epoch 7/100, train: ['-0.13370', '-0.12449', '-0.00922', '-0.00000', '1.63600'], valid: ['2.35000'], test: ['2.29000'], dt: 22.71314
Epoch 8/100, train: ['-0.11982', '-0.11321', '-0.00661', '-0.00000', '1.43800'], valid: ['2.16000'], test: ['2.03000'], dt: 22.53242
Epoch 9/100, train: ['-0.11511', '-0.10983', '-0.00528', '-0.00000', '1.28600'], valid: ['2.13000'], test: ['1.98000'], dt: 22.38753
Epoch 10/100, train: ['-0.10690', '-0.10229', '-0.00461', '-0.00000', '1.14400'], valid: ['2.02000'], test: ['1.92000'], dt: 22.55419
Epoch 11/100, train: ['-0.10304', '-0.09873', '-0.00431', '-0.00000', '1.00200'], valid: ['1.90000'], test: ['1.78000'], dt: 22.43709
Epoch 12/100, train: ['-0.09726', '-0.09313', '-0.00412', '-0.00000', '0.92200'], valid: ['1.90000'], test: ['1.69000'], dt: 22.39452
Epoch 13/100, train: ['-0.09217', '-0.08824', '-0.00393', '-0.00000', '0.84000'], valid: ['1.86000'], test: ['1.72000'], dt: 26.82701
Epoch 14/100, train: ['-0.08571', '-0.08195', '-0.00376', '-0.00000', '0.77000'], valid: ['1.83000'], test: ['1.63000'], dt: 31.10049
Epoch 15/100, train: ['-0.08931', '-0.08561', '-0.00370', '-0.00000', '0.72000'], valid: ['1.79000'], test: ['1.62000'], dt: 35.48609
Epoch 16/100, train: ['-0.08112', '-0.07751', '-0.00361', '-0.00000', '0.64200'], valid: ['1.66000'], test: ['1.58000'], dt: 30.24814
Epoch 17/100, train: ['-0.07763', '-0.07406', '-0.00356', '-0.00000', '0.60600'], valid: ['1.69000'], test: ['1.50000'], dt: 22.62566
Epoch 18/100, train: ['-0.07450', '-0.07103', '-0.00347', '-0.00000', '0.54600'], valid: ['1.67000'], test: ['1.46000'], dt: 22.19984
